,country,cumulative_cases,cumulative_deaths,mortality_rate
175,French Guiana,11014,70,0.64
176,Ghana,50874,323,0.63
177,Kuwait,140056,866,0.62
178,Côte d’Ivoire,21138,131,0.62
179,Malaysia,54775,335,0.61
180,Nepal,220308,1321,0.6
181,Guinea,12826,75,0.58
182,Monaco,582,3,0.52
183,Cyprus,8643,44,0.51
184,Iceland,5277,26,0.49
185,French Polynesia,12978,63,0.49
186,Réunion,7501,35,0.47
187,Sri Lanka,20171,87,0.43
188,Bahrain,85705,338,0.39
189,Maldives,12608,46,0.36
190,United Arab Emirates,158990,552,0.35
191,Botswana,9594,31,0.32
192,Gibraltar,953,3,0.31
193,Curaçao,1561,3,0.19
194,Qatar,137229,236,0.17
195,Burundi,664,1,0.15
196,Singapore,58160,28,0.05
197,Tuvalu,0,0,0.0
198,Marshall Islands,4,0,0.0
199,Turkmenistan,0,0,0.0
200,Micronesia (Federated States of),0,0,0.0
201,Saint Vincent and the Grenadines,84,0,0.0
202,Greenland,18,0,0.0
203,Lao People's Democratic Republic,25,0,0.0
204,Cook Islands,0,0,0.0
205,Kiribati,0,0,0.0
206,Grenada,41,0,0.0
207,Bhutan,382,0,0.0
208,Vanuatu,1,0,0.0
209,Cambodia,306,0,0.0
210,Wallis and Futuna,2,0,0.0
211,American Samoa,0,0,0.0
212,Mongolia,629,0,0.0
213,Anguilla,4,0,0.0
214,Tonga,0,0,0.0
215,Democratic People's Republic of Korea,0,0,0.0
216,Saint Pierre and Miquelon,14,0,0.0
217,Saint Kitts and Nevis,20,0,0.0
218,Saint Helena,0,0,0.0
219,Saint Barthélemy,127,0,0.0
220,Dominica,77,0,0.0
221,Seychelles,161,0,0.0
222,Pitcairn Islands,0,0,0.0
223,Solomon Islands,16,0,0.0
224,Eritrea,551,0,0.0
225,Tokelau,0,0,0.0
226,Palau,0,0,0.0
227,Falkland Islands (Malvinas),16,0,0.0
228,Faroe Islands,500,0,0.0
229,Niue,0,0,0.0
230,New Caledonia,32,0,0.0
231,Nauru,0,0,0.0
232,Samoa,0,0,0.0
233,Timor-Leste,30,0,0.0
234,Holy See,26,0,0.0
